1;Natalia;de Barbaro
2;Remigiusz;Mróz
3;Lucinda;Riley
4;Joseph;Murphy
5;B.A.;Paris
6;Zbigniew;Rokita
7;Marta;Galewska-Kustra
8;Victoria;Schwab (V.E. Schwab)
9;Madeline;Miller
10;Harlan;Coben
11;Sara;Gay Forden
12;;
13;Donald;Tusk
14;Anne;Applebaum
15;Jane;Austen
16;Kristin;Hannah
17;Artur;Nowak
18;Stanisław;Obirek
19;Leigh;Bardugo
20;Joanna;Gierak-Onoszko
21;Rafał;Kosik
22;Carlos;Ruiz Zafon
23;Diane;Setterfield
24;Katarzyna;Puzyńska
25;Magdalena;Rittenhouse
26;Andrzej;Pilipiuk
27;Walter;Isaacson
28;Nicholas;Sparks
29;Stephen;King
30;Justyna;Bednarek
31;Charlotte;Bronte
32;Anita;Głowińska
33;Dmitry;Glukhovsky
34;Dagmara;Kaźmierska
35;Rafał;A. Ziemkiewicz
36;Ken;Follett
37;James;Islington
38;Jakub;Żulczyk
39;Beata;Sabała-Zielińska
40;Emily;Bronte
41;Violetta;Ozminkowski
42;Piotr;Zychowicz
43;Jacek;Bartosiak
44;Bernardine;Evaristo
45;Barbara;Wysoczańska
46;Casey;McQuiston
47;C.S.;Lewis
48;Vincent;V. Severski
49;Katarzyna;Nosowska
50;Andrzej;Sapkowski
51;Jamie;Oliver
52;Lucy;Maud Montgomery
53;Grzegorz;Kasdepke
54;Ewa;Kempisty-Jeznach
55;Rebecca;F. Kuang
56;Tove;Jansson
57;Tess;Gerritsen
58;Gary;Braver
59;Marcin;Pałasz
60;Brandon;Sanderson
61;J.K.;Rowling
62;Wojciech;Chmielarz
63;Guillaume;Musso
64;Katarzyna;Bonda
65;John;Gwynne
66;Camilla;Lackberg
67;Beata;Sabałą-Zielińska
68;Blizzard;Entertainment
69;Barack;Obama
70;Katarzyna;Grochola
71;Jo;Nesbo
72;Diana;Gabaldon
73;Charlotte;Link
74;Lee;Child
75;Andrew;Child
76;Daphne;du Maurier
77;Steven;Erikson
78;Janusz;Christa
79;Rita;Mock Pike
80;Ałbena;Grabowska
81;Won-pyung;Sohn
82;Delia;Owens
83;Christie;Golden
84;Dominika;Musiałowska
85;Magdalena;Makarowska
86;Andrzej;Stasiuk
87;Przemysław;Piotrowski
88;Bartosz; Borkowski
89;Holly;Black
90;J.R.R.;Tolkien
91;Jonny;Thomson
92;Joanna;Papuzińska
93;Jacek;Komuda
94;Astrid;Lindgren
95;Dennis;E. Taylor
96;Radek;Rak
97;Heather;Morris
98;Robert;Ackerman
99;Dean;Burnett
100;Kamil;Janicki
101;E;L James
102;Brian;Porter-Szucs
103;Dominik;Linowski
104;Magda;Gessler
105;Łukasz;Maziewski
106;Grzegorz;Małecki
107;Yuval;Noah Harari
108;praca;zbiorowa
109;Kazuo;Ishiguro
110;Joanna;Mokosa-Rykalska
111;Erich;Maria Remarque
112;Katarzyna;Tubylewicz 
113;Elizabeth;Gaskell
114;Benjamin;Alire Sáenz
115;Fran;Lebowitz
116;Feliks;W. Kres
117;Joanna;Bator
118;Joanna;Laprus
119;Rafał;Hetman
120;Marek;Krajewski
121;Katarzyna;Kucewicz
122;David;Attenborough
123;Shelby;Mahurin
124;Jeff;Kinney
125;Olga;Tokarczuk
126;Robert;Kolker
127;Richard;Taylor
128;Agnieszka;Niedziałek
129;Matthew;Syed
130;Christine;Watkins
131;Wasilij;Machanienko
132;Karen;Swan
133;Mariusz;Szczygieł
134;Ferenc;Molnar
135;Krystian;Wójcik
136;Sylwia;Zientek
137;Hervé;Le Tellier
138;Marta;Dymek
139;Christopher;Wylie
140;Louis;May Alcott
141;Jerzy;Woropiński
142;Mieczysław;Gorzka
143;Neil;deGrasse Tyson
144;Alina;i Czesław Centkiewiczowie
145;Tanya;Valko
146;Ed;McDonald
147;Sophie;Hannah
148;Clare;Mackintosh
149;Holly;Brown
150;Jane;Corry
151;Rene;Goscinny
152;Jean-Jacques;Sempe
153;Borys;Strugacki
154;Arkadij;Strugacki
155;Gary;Chapman
156;Paula;Hawkins
157;Mark;Lawrence
158;Jeremy;Clarkson
159;Frank;Herbert
160;Magdalena;Witkiewicz
